Class,Q,A
Prevention,How can sports injuries be prevented?,"Prevent sports injuries by using the right equipment, wearing appropriate protective gear, warming up before playing, staying hydrated, and using proper technique during activities."
Definition,What is plantar fasciitis?,"Plantar fasciitis is an inflammation of the plantar fascia, the thick band of tissue that runs across the bottom of your foot and connects your heel bone to your toes, commonly causing heel pain."
Cause,What causes scoliosis?,"The cause of most scoliosis cases is unknown, although it may be related to genetic factors, congenital spine abnormalities, neuromuscular problems, and environmental factors."
Symptom,What are signs of a vitamin C deficiency?,"Signs include fatigue, muscle weakness, joint and muscle aches, bleeding gums, and leg rashes."
Treatment,How is osteoporosis treated?,"Treatment includes medications such as bisphosphonates, lifestyle changes like diet and exercise, and supplements of calcium and vitamin D."
Prognosis,What is the prognosis for individuals with mild traumatic brain injury (TBI)?,"Most people with mild TBI recover fully, but recovery time can vary. Some may experience symptoms for weeks or months, known as post-concussion syndrome."
Diagnosis,How is a thyroid disorder diagnosed?,"Thyroid disorders are diagnosed through clinical evaluation, blood tests to measure levels of thyroid hormones and TSH, and sometimes imaging tests or a biopsy of thyroid tissue."
Prevention,How can age-related macular degeneration (AMD) be prevented?,"While AMD cannot be completely prevented, risk can be reduced by not smoking, eating a healthy diet rich in green, leafy vegetables and fish, maintaining a healthy weight, and managing blood pressure and cholesterol."
Definition,What is vertigo?,"Vertigo is a sensation of feeling off balance, often described as feeling dizzy or as if the room is spinning."
Cause,What causes hemorrhoids?,"Hemorrhoids are caused by increased pressure in the lower rectum due to straining during bowel movements, obesity, pregnancy, or sitting for long periods of time."
Symptom,What are common symptoms of anxiety disorders?,"Symptoms include excessive worry, restlessness, being easily fatigued, trouble concentrating, irritability, sleep disturbances, and muscle tension."
Treatment,How is postpartum depression treated?,"Treatment involves counseling, antidepressant medication, and support groups to help manage symptoms and support the new mother."
Prognosis,What is the outlook for individuals with ulcerative colitis?,"The outlook can vary; some experience long periods of remission, while others may have frequent flare-ups. Surgery to remove the colon may be necessary in severe cases."
Diagnosis,How is asthma diagnosed?,"Asthma is diagnosed based on medical history, a physical exam, and lung function tests, such as spirometry, to measure breathing."
Prevention,How can you reduce the risk of developing type 2 diabetes?,"Reduce the risk by maintaining a healthy weight, eating a balanced diet, exercising regularly, and monitoring blood glucose levels, especially if you have prediabetes or other risk factors."
Definition,What is a migraine?,"A migraine is a type of headache characterized by intense, throbbing pain usually on one side of the head, often accompanied by nausea, vomiting, and extreme sensitivity to light and sound."
Cause,What causes constipation?,"Causes include lack of fiber in the diet, inadequate hydration, physical inactivity, certain medications, and ignoring the urge to have a bowel movement."
Symptom,What are symptoms of acid reflux disease (GERD)?,"Symptoms include heartburn, regurgitation of bitter acid into the throat, bitter taste in mouth, ches pain, dry cough, asthma, trouble swallowing, and the feeling of food being stuck in the throat."
Definition,What is Raynaud's phenomenon?,"Raynaud's phenomenon is a condition where cold temperatures or stress cause blood vessels to narrow, significantly reducing blood flow to the extremities, especially fingers and toes."
Cause,What causes cystic acne?,"Cystic acne is caused by clogged skin pores due to oil, dead skin cells, and bacteria, leading to infection and inflammation deep within the skin layers."
Symptom,What are the indicators of deep vein thrombosis (DVT)?,"Indicators include swelling, pain, tenderness, a warm sensation, and red or discolored skin, typically on one leg."
Treatment,How is hyperthyroidism managed?,"Hyperthyroidism is managed with medications, radioactive iodine therapy, or thyroid surgery to reduce thyroid hormone production."
Prognosis,What is the outlook for someone with macular degeneration?,"While there's no cure for macular degeneration, treatments can slow progression and might help maintain vision longer. Outcomes vary depending on the type and severity."
Diagnosis,How is an inguinal hernia diagnosed?,"An inguinal hernia is diagnosed through a physical exam and medical history, sometimes confirmed with imaging tests like an ultrasound or CT scan if the diagnosis isn't clear."
Prevention,How can migraines be prevented?,"Migraine prevention can involve lifestyle changes to avoid triggers, preventive medications, and stress management techniques."
Definition,What is narcolepsy?,Narcolepsy is a sleep disorder characterized by overwhelming daytime drowsiness and sudden attacks of sleep.
Cause,What causes rosacea to flare?,"Rosacea flares can be triggered by factors like sun exposure, stress, hot weather, wind, heavy exercise, alcohol, and spicy foods."
Symptom,What are signs of iron overload?,"Signs include joint pain, fatigue, weakness, diabetes, liver problems (such as cirrhosis), and heart abnormalities."
Treatment,How is Lyme disease treated?,"Lyme disease is primarily treated with antibiotics, which are highly effective if the infection is caught early."
Prognosis,What is the prognosis for someone with Hodgkin's lymphoma?,"The prognosis for Hodgkin's lymphoma is generally very good, with high survival rates, especially when diagnosed and treated early."
Diagnosis,How is colorectal cancer diagnosed?,"Colorectal cancer is diagnosed using colonoscopy, where abnormal areas can be seen and biopsied, along with imaging tests like CT scans for further analysis."
Prevention,How can one reduce the risk of developing kidney stones?,"Reducing risk involves staying well-hydrated, eating a diet low in salt and animal proteins, and managing weight."
Definition,What is sleep apnea?,Sleep apnea is a serious sleep disorder where breathing repeatedly stops and starts during sleep.
Cause,What causes alopecia areata?,Alopecia areata is believed to be an autoimmune condition where the immune system mistakenly attacks hair follicles.
Symptom,What are the common effects of sleep deprivation?,"Effects include cognitive impairments, mood swings, reduced coordination, and health issues such as weight gain and increased risk of chronic diseases."
Treatment,How is anemia corrected?,"Anemia treatment is tailored to the cause, including iron supplements for iron deficiency, vitamin B12 injections, and medications or procedures for more chronic conditions."
Prognosis,What is the outcome for premature babies?,"The outcome for premature babies has improved significantly, but they may face higher risks of health issues later in life. The level of prematurity influences the prognosis."
Diagnosis,How is multiple sclerosis (MS) confirmed?,"MS is confirmed through a combination of magnetic resonance imaging (MRI) showing areas of damage, spinal fluid analysis, and sometimes evoked potentials testing."
Prevention,How can age-related hearing loss be minimized?,"Minimizing age-related hearing loss involves protecting ears from loud noises, regular hearing check-ups, and avoiding ototoxic medications when possible."
Definition,What is tendinitis?,"Tendinitis is inflammation or irritation of a tendon, the thick fibrous cords that attach muscle to bone, causing pain and tenderness near a joint."
Cause,What causes pericarditis?,"Pericarditis is often caused by viral infections, but can also result from bacterial infections, heart surgery, autoimmune diseases, and certain medications."
Symptom,What are the symptoms of a gallbladder attack?,"Symptoms include sudden and intensifying pain in the upper right or center of the abdomen, nausea, and possibly fever and jaundice."
Treatment,How is gout managed?,"Gout is managed with medications to reduce uric acid levels in the blood, anti-inflammatory drugs to manage pain and inflammation, and lifestyle changes."
Prognosis,What is the long-term outlook for individuals with psoriasis?,"Psoriasis is a chronic condition with no cure, but treatment can help control symptoms, and many people can lead normal, active lives with proper management."
Diagnosis,How is gastritis identified?,"Gastritis is identified through symptoms, medical history, and may be confirmed with an endoscopy, biopsy, or tests for Helicobacter pylori."
Prevention,How can stress be effectively managed?,"Effective stress management includes regular physical activity, relaxation techniques, maintaining a social support network, and seeking professional help when needed."
Definition,What is a brain aneurysm?,"A brain aneurysm is a bulge or ballooning in a blood vessel in the brain that can leak or burst, potentially leading to stroke, brain damage, or death."
Cause,What causes chronic bronchitis?,"Chronic bronchitis is primarily caused by cigarette smoking, but can also result from air pollution, dust, toxic gases in the environment, and repeated respiratory infections."
Symptom,What are the early warning signs of ovarian cancer?,"Early signs can include bloating, pelvic or abdominal pain, difficulty eating or feeling full quickly, and urinary symptoms."
Treatment,How is insulin resistance addressed?,"Insulin resistance is addressed with lifestyle changes such as diet and exercise, weight loss, and sometimes medications like metformin to improve insulin sensitivity."
Prognosis,What is the outlook for individuals with atrial fibrillation (Afib)?,"With proper treatment to control heart rate, prevent blood clots, and manage risk factors, individuals with Afib can live healthy lives, though they may require ongoing management."
Diagnosis,How is vitiligo diagnosed?,"Vitiligo is diagnosed through a physical examination of the affected skin, medical history, and possibly a skin biopsy or blood tests to rule out other conditions."
Prevention,How can you prevent varicose veins during pregnancy?,"Prevention includes regular exercise, elevating legs when resting, wearing compression stockings, and avoiding standing or sitting for long periods without movement."
Definition,What is gingivitis?,"Gingivitis is a common and mild form of gum disease (periodontal disease) that causes irritation, redness, and swelling (inflammation) of your gingiva, the part of your gum around the base of your teeth."
Cause,What causes impetigo?,"Impetigo is caused by streptococcus (strep) or staphylococcus (staph) bacteria, often entering through a break in the skin like a cut, scratch, or insect bite."
Symptom,What are signs of a potassium deficiency?,"Signs include muscle weakness, fatigue, cramping, and abnormal heart rhythms."
Treatment,How is a vitamin D deficiency treated?,"Treatment typically involves vitamin D supplements and increasing dietary intake of the vitamin, as well as getting more sunlight exposure."
Prognosis,What is the outlook for someone with fibromyalgia?,"While fibromyalgia is a chronic condition, many individuals can manage their symptoms and lead active lives with proper treatment and lifestyle adjustments."
Diagnosis,How is polycystic ovary syndrome (PCOS) diagnosed?,"PCOS is diagnosed based on a combination of symptoms, blood tests to measure hormone levels, and ultrasound to look for cysts on the ovaries."
Prevention,How can one prevent altitude sickness?,"Prevention includes ascending gradually to high altitudes, acclimatizing properly, staying hydrated, and considering prophylactic medications if prone to altitude sickness."
Definition,What is bronchitis?,"Bronchitis is inflammation of the bronchial tubes, which carry air to and from your lungs, often resulting in persistent coughing and mucus production."
Cause,What causes tonsillitis?,"Tonsillitis is typically caused by common viruses, but bacterial infections can also be a cause, with streptococcus bacteria being one of the most common bacterial causes."
Symptom,What are the symptoms of hypoglycemia?,"Symptoms include shakiness, anxiety, sweating, hunger, palpitations, numbness or tingling of lips or fingertips, confusion, and in severe cases, loss of consciousness."
Treatment,How is oral thrush treated?,"Oral thrush is treated with antifungal medications in the form of mouthwash, lozenges, pills, or oral drops."
Prognosis,What is the long-term outlook for individuals with epilepsy?,"Many individuals with epilepsy lead normal lives. While epilepsy is often a lifelong condition, seizures can often be controlled with medication, and some children may outgrow their epilepsy."
Diagnosis,How is chronic obstructive pulmonary disease (COPD) diagnosed?,"COPD is diagnosed using spirometry to measure lung function, along with a review of symptoms, medical history, and sometimes imaging tests like chest X-rays or CT scans."
Prevention,How can carpal tunnel syndrome be prevented?,"Preventive measures include taking frequent breaks to rest hands, adopting correct posture and wrist position, using ergonomic equipment, and doing exercises to strengthen the hand and wrist muscles."
Definition,What is a urinary tract infection (UTI)?,"A UTI is an infection in any part of the urinary system, kidneys, bladder, or urethra, most commonly caused by bacteria that enter the urethra and multiply in the bladder."
Cause,What causes vertigo?,"Vertigo is often caused by inner ear problems, such as benign paroxysmal positional vertigo (BPPV), Meniere's disease, or vestibular neuritis."
Symptom,What are common symptoms of allergic reactions?,"Common symptoms include hives, itching, nasal congestion, rash, scratchy throat, and watery or itchy eyes. In severe cases, symptoms can include difficulty breathing and anaphylaxis."
Treatment,How is Lyme disease treated?,"Lyme disease is treated with antibiotics, and early treatment usually leads to a full recovery."
Prognosis,What is the prognosis for individuals with ALS (Amyotrophic Lateral Sclerosis)?,"ALS is a progressive disease that eventually leads to respiratory failure and death, usually within 3 to 5 years from the onset of symptoms, but the rate of progression can vary significantly among individuals."
Diagnosis,How is a brain tumor diagnosed?,"Brain tumors are diagnosed using imaging tests like MRI and CT scans, and a biopsy may be performed to determine the type and grade of the tumor."
Prevention,How can you prevent type 2 diabetes?,"Prevention involves maintaining a healthy weight, eating a balanced diet, exercising regularly, and monitoring blood sugar levels, especially if you have prediabetes or other risk factors."
Definition,What is osteomalacia?,"Osteomalacia is the softening of the bones due to vitamin D deficiency or poor vitamin D metabolism, leading to bone pain and muscle weakness."
Cause,What causes migraines?,"The exact cause of migraines isn't fully understood, but they are thought to be the result of abnormal brain activity temporarily affecting nerve signals, chemicals, and blood vessels in the brain."
Symptom,What are the signs of a heart attack?,"Signs include chest pain or discomfort, upper body pain, shortness of breath, nausea, light-headedness, or cold sweats."
Treatment,How is a fracture treated?,"Treatment depends on the fracture's location and severity and may include immobilization with a cast or splint, and sometimes surgery to properly align and secure the bones."
Prognosis,What is the outlook for someone with Parkinson's disease?,"Parkinson's is a progressive disorder, and while symptoms can be managed with treatment, the disease will generally progress over time. Life expectancy can be near normal, but quality of life may be affected."
Diagnosis,How is rheumatoid arthritis diagnosed?,"It's diagnosed based on symptoms, physical examinations, blood tests for markers of inflammation and autoantibodies, and imaging tests like X-rays or MRI to assess joint damage."
Prevention,How can you prevent a stroke?,"Stroke prevention strategies include controlling high blood pressure, managing cholesterol, quitting smoking, eating a healthy diet, exercising regularly, and controlling diabetes."
Definition,What is anaphylaxis?,"Anaphylaxis is a severe, potentially life-threatening allergic reaction that can occur rapidly and affect the entire body."
Cause,What causes chronic fatigue syndrome?,"The exact cause of chronic fatigue syndrome is unknown, though it may be linked to viral infections, psychological stress, or a combination of factors."
Symptom,What are the early signs of liver cancer?,"Early signs can include unexplained weight loss, loss of appetite, upper abdominal pain, nausea and vomiting, general weakness and fatigue, and yellowing of the skin and eyes (jaundice)."
Treatment,How is attention deficit hyperactivity disorder (ADHD) treated?,"Treatment typically involves behavioral therapy, medications like stimulants and non-stimulants, and lifestyle and dietary adjustments."
Prognosis,What is the prognosis for someone with a mild concussion?,"Most people with a mild concussion recover fully with appropriate rest and follow-up care, though it's crucial to avoid activities that risk further head injury during the recovery period."
Diagnosis,How is leukemia diagnosed?,"Leukemia is diagnosed through blood tests that show abnormal levels of white or red blood cells or platelets, bone marrow tests to look for leukemia cells, and sometimes genetic tests."
Prevention,How can you reduce the risk of developing osteoporosis?,"Reducing the risk involves adequate calcium and vitamin D intake, regular weight-bearing and muscle-strengthening exercise, and lifestyle changes like quitting smoking and limiting alcohol."
Definition,What is conjunctivitis?,"Conjunctivitis, or pink eye, is an inflammation or infection of the outer membrane of the eyeball and the inner eyelid."
Cause,What causes endometriosis?,"Endometriosis is caused by endometrial tissue growing outside the uterus, which continues to act as it normally would during menstrual cycles but can cause pain, inflammation, and scar tissue."
Symptom,What are the signs of dehydration in elderly individuals?,"Signs include confusion, rapid heart rate, low blood pressure, dizziness, and in severe cases, unconsciousness."
Treatment,How is shingles treated?,"Shingles is treated with antiviral medications to reduce the severity and duration of the outbreak, pain relief medications, and sometimes corticosteroids to reduce inflammation."
Prognosis,What is the outlook for someone with Crohn's disease?,"Crohn's disease is a chronic condition with periods of flare-ups and remission. Treatment can help manage symptoms, but there is no cure, and some individuals may require surgery."
Diagnosis,How is celiac disease diagnosed?,"Celiac disease is diagnosed through blood tests for specific antibodies, endoscopy, and biopsy of the small intestine to look for damage caused by gluten."
Prevention,How can you prevent heatstroke?,"Heatstroke can be prevented by wearing loose and lightweight clothing, drinking plenty of fluids, avoiding strenuous activities in hot weather, and staying in air-conditioned environments during peak heat hours."
Definition,What is atrial fibrillation?,"Atrial fibrillation is an irregular and often rapid heart rate that can increase your risk of strokes, heart failure, and other heart-related complications."
Cause,What causes urinary incontinence?,"Causes include physical changes from pregnancy, childbirth, aging, menopause in women; prostate issues in men; and neurological disorders, obesity, and diabetes affecting both genders."
Symptom,What are symptoms of carbon monoxide poisoning?,"Symptoms include headache, dizziness, weakness, upset stomach, vomiting, chest pain, and confusion. High levels can cause loss of consciousness and death."
Treatment,How is insomnia treated?,"Insomnia treatment may involve improving sleep habits, behavior therapy, and medications. Lifestyle changes and cognitive-behavioral therapy are often effective."
Prognosis,What is the prognosis for individuals with ulcerative colitis (UC)?,"The prognosis for UC can vary; many people live normal lives with proper treatment. Some may require surgery to remove the colon, which typically cures UC but comes with its own risks and changes in lifestyle."
Diagnosis,How is hypothyroidism diagnosed?,Hypothyroidism is diagnosed through blood tests that measure levels of thyroid-stimulating hormone (TSH) and thyroxine.
Prevention,How can dental erosion be prevented?,"Dental erosion can be prevented by reducing the intake of acidic foods and drinks, using a straw when drinking acidic beverages, rinsing the mouth with water after consuming them, and waiting to brush teeth after eating."
Definition,What is plantar fasciitis?,"Plantar fasciitis is an inflammation of the plantar fascia, a thick band of tissue that runs across the bottom of the foot and connects the heel bone to the toes, causing heel pain."
Cause,What causes a stroke?,Strokes are caused by blocked blood flow to the brain (ischemic stroke) or bleeding in the brain (hemorrhagic stroke).
Symptom,What are early symptoms of Parkinson's disease?,"Early symptoms include tremors, slow movement, stiffness, and balance problems."
Treatment,How is chronic back pain managed?,"Management includes physical therapy, medications, lifestyle changes, and sometimes interventions like injections or surgery."
Prognosis,What is the outlook for individuals with a spinal cord injury?,"The outlook depends on the severity and location of the injury. Advances in treatment have improved outcomes, but many individuals face significant challenges in mobility and daily activities."
Diagnosis,How is ovarian cancer diagnosed?,"Ovarian cancer is diagnosed through pelvic examinations, imaging tests like ultrasounds or CT scans, and blood tests for tumor markers. A biopsy is needed to confirm the diagnosis."
Prevention,How can repetitive strain injuries be prevented?,"Prevention involves taking frequent breaks, using ergonomic equipment, and practicing proper posture and exercises to strengthen and stretch the muscles used in repetitive tasks."
Definition,What is a peptic ulcer?,"A peptic ulcer is a sore on the lining of the stomach, small intestine, or esophagus that occurs when the stomach's protective mucus is reduced, allowing the digestive acids to eat away at the tissues."
Cause,What causes Bell's palsy?,"The exact cause is unknown, but it is believed to be linked to viral infections that cause inflammation and swelling of the facial nerve."
Symptom,What are common symptoms of type 2 diabetes?,"Symptoms include increased thirst, frequent urination, hunger, fatigue, blurred vision, slow-healing sores, and frequent infections."
Treatment,How is asthma managed?,"Asthma is managed with inhaled corticosteroids, long-acting beta agonists, and rescue inhalers for quick relief, along with avoiding triggers."
Prognosis,What is the outlook for individuals with heart failure?,"With treatment, many people with heart failure can lead a full, enjoyable life. The prognosis depends on the cause, severity, treatment response, and the individual's overall health."
Diagnosis,How is melanoma diagnosed?,Melanoma is diagnosed through skin examinations and a biopsy of the suspicious area. Further testing may be required to determine the stage and spread of the cancer.
Prevention,How can liver disease be prevented?,"Prevent liver disease by limiting alcohol consumption, avoiding risky behaviors, getting vaccinated against hepatitis, and maintaining a healthy weight."
Definition,What is a migraine with aura?,A migraine with aura is a type of migraine that involves visual disturbances and other neurological symptoms that typically precede the headache phase of the migraine attack.
Cause,What causes scoliosis?,"Scoliosis can be caused by congenital structural abnormalities, neuromuscular conditions, genetic conditions, or idiopathic factors, with the majority of cases having no clear cause."
Symptom,What are indicators of anemia?,"Indicators include fatigue, weakness, pale or yellowish skin, irregular heartbeats, shortness of breath, dizziness, or cold hands and feet."
Treatment,How is chronic sinusitis treated?,"Treatment includes nasal corticosteroids, saline nasal irrigation, oral or injected corticosteroids, antibiotics if a bacterial infection is suspected, and sometimes surgery to clear blocked sinuses."
Prognosis,What is the prognosis for individuals with multiple sclerosis (MS)?,"The prognosis varies; MS is unpredictable and can have varying degrees of disability, but most people with MS have a normal or near-normal lifespan. Treatment can help manage symptoms and slow disease progression."
Diagnosis,How is a urinary tract infection (UTI) diagnosed?,A UTI is diagnosed based on symptoms and confirmed with a urine test to identify bacteria or other pathogens causing the infection.
Prevention,How can you prevent sports-related eye injuries?,Prevent sports-related eye injuries by wearing protective eyewear like safety goggles or helmets with protective face masks designed for the specific sport being played.
Definition,What is peripheral neuropathy?,"Peripheral neuropathy is a condition resulting from damage to the peripheral nerves, causing weakness, numbness, and pain, typically in the hands and feet."
Cause,What causes sepsis?,"Sepsis is caused by the body's overwhelming and life-threatening response to an infection, which can lead to tissue damage, organ failure, and death."
Symptom,What are symptoms of a vitamin B12 deficiency?,"Symptoms include fatigue, weakness, constipation, loss of appetite, weight loss, poor memory, and numbness and tingling in the hands and feet."
Treatment,How is irritable bowel syndrome (IBS) managed?,"IBS management includes dietary changes, stress relief, regular physical exercise, and sometimes medications to manage symptoms like constipation, diarrhea, and abdominal pain."
Prognosis,What is the outlook for someone with hepatitis B?,"The outlook can vary; many adults clear the infection spontaneously, but chronic hepatitis B can lead to liver disease or liver cancer. Vaccination provides effective prevention."
Diagnosis,How is a pulmonary embolism diagnosed?,"A pulmonary embolism is diagnosed through imaging tests such as a CT scan or a lung V/Q scan, and sometimes blood tests that include D-dimer levels, which can indicate the presence of a blood clot."
Prevention,How can age-related vision loss be prevented?,"While not all age-related vision loss can be prevented, regular eye examinations, managing chronic conditions like diabetes, wearing sunglasses to protect from UV light, and a healthy diet can help maintain eye health."
Definition,What is a detached retina?,"A detached retina occurs when the retina—an important layer of tissue at the back of the eye—peels away from its underlying support tissue, potentially leading to permanent vision loss if not treated promptly."
Cause,What causes lactose intolerance?,"Lactose intolerance is caused by a deficiency of lactase, the enzyme in the digestive system that breaks down lactose, a sugar found in milk and dairy products."
Symptom,What are the early signs of dementia?,"Early signs include memory loss, difficulty planning or solving problems, difficulty completing familiar tasks, confusion with time or place, and changes in mood and personality."
Treatment,How is hypoglycemia treated?,"Hypoglycemia is treated by consuming fast-acting carbohydrates (like glucose tablets or sugary drinks), followed by a longer-acting carbohydrate to prevent recurrence. Severe cases may require glucagon injections."
Prognosis,What is the prognosis for individuals with rheumatoid arthritis?,"With modern treatments, many individuals with rheumatoid arthritis can control their symptoms effectively, reduce joint damage, and maintain a quality lifestyle, although it is a chronic condition with no cure."
Diagnosis,How is thyroid cancer diagnosed?,"Thyroid cancer is diagnosed through physical exams, blood tests to check thyroid function, imaging tests (like ultrasound), and fine-needle aspiration biopsy to examine thyroid cells."
Prevention,How can you prevent kidney disease?,"Preventing kidney disease involves managing blood pressure and blood sugar levels, maintaining a healthy weight, avoiding smoking, limiting alcohol, and staying hydrated."
Definition,What is tinnitus?,"Tinnitus is the perception of noise or ringing in the ears when no external sound is present, often described as ringing, buzzing, roaring, or clicking."
Cause,What causes osteoarthritis?,"Osteoarthritis is caused by the breakdown of cartilage in joints, which can result from aging, joint injury, obesity, and genetics, leading to pain, stiffness, and reduced mobility."
Symptom,What are symptoms of chronic kidney disease (CKD)?,"Symptoms include nausea, vomiting, loss of appetite, fatigue, sleep problems, changes in urine output, decreased mental sharpness, muscle cramps, and swelling of feet and ankles."
Treatment,How is a deep vein thrombosis (DVT) treated?,"DVT is typically treated with anticoagulant medications to prevent the clot from growing and to reduce the risk of further clotting. In some cases, clot-busting drugs or filters may be used."
Prognosis,What is the outlook for individuals with lupus?,"Lupus has a variable prognosis; many individuals experience periods of illness and remission. With proper treatment, most people with lupus can lead an active life, although severe cases can be life-threatening."
Diagnosis,How is endometrial cancer diagnosed?,"Endometrial cancer is diagnosed with a pelvic examination, ultrasound, and biopsy of the uterine lining to detect cancerous cells."
Prevention,How can you reduce the risk of developing cataracts?,"Reducing the risk includes protecting eyes from UV light exposure, not smoking, eating a diet rich in vitamins and minerals, and managing health conditions like diabetes."
Definition,What is macular degeneration?,"Macular degeneration is a disease that deteriorates the macula, the central portion of the retina, leading to vision loss and, in severe cases, blindness."
Cause,What causes appendicitis?,"Appendicitis is commonly caused by a blockage in the lining of the appendix, leading to infection, swelling, and inflammation."
Symptom,What are the common signs of high blood pressure (hypertension)?,"High blood pressure often has no symptoms, but it can lead to serious conditions like heart disease and stroke if left untreated."
Treatment,How is bipolar disorder managed?,"Bipolar disorder is managed with medications (such as mood stabilizers and antipsychotics), psychotherapy, lifestyle changes, and sometimes hospitalization during manic or depressive episodes."
Prognosis,What is the long-term outlook for individuals with type 1 diabetes?,"With careful management of blood sugar levels, diet, and lifestyle, individuals with type 1 diabetes can live long, healthy lives, although they are at increased risk for other health complications."
Diagnosis,How is a heart attack diagnosed?,"A heart attack is diagnosed through patient symptoms, ECG (electrocardiogram) to check heart activity, and blood tests to look for cardiac enzymes indicative of heart muscle damage."
Prevention,How can stress-related illnesses be reduced?,"Reducing stress-related illnesses can involve regular physical activity, relaxation techniques like meditation or yoga, maintaining social connections, and seeking professional counseling when necessary."
Definition,What is melanoma?,"Melanoma is a type of skin cancer that develops from cells known as melanocytes, which produce melanin, the pigment that gives skin its color."
Cause,What causes anaphylaxis?,"Anaphylaxis is caused by a severe allergic reaction to allergens such as certain foods, medications, insect stings, or latex, triggering a full-body immune response."
Symptom,What are indicators of insulin resistance?,"Indicators include high blood sugar levels, increased waist circumference, hypertension, high levels of triglycerides, and low HDL cholesterol levels."
Treatment,How is chronic liver disease managed?,"Management includes avoiding alcohol, maintaining a healthy diet, medications to manage symptoms and complications, and in severe cases, liver transplantation."
Prognosis,What is the outlook for individuals with a kidney infection?,"With proper treatment, most individuals recover without complications, but recurrent infections can lead to more serious kidney damage."
Diagnosis,How is multiple myeloma diagnosed?,"Multiple myeloma is diagnosed through blood and urine tests that look for myeloma proteins, bone marrow biopsy to check for cancerous cells, and imaging tests to detect bone damage."
Prevention,How can urinary tract infections (UTIs) be prevented?,"Prevention includes drinking plenty of liquids, especially water, wiping from front to back in women, urinating soon after intercourse, and avoiding potentially irritating feminine products."
Definition,What is scleroderma?,Scleroderma is a group of autoimmune diseases that cause the skin and connective tissues to harden and tighten.
Cause,What causes vitiligo?,"Vitiligo is caused by the loss of pigment-producing cells in the skin (melanocytes), leading to white patches of skin. The exact reason why these cells fail or die is unknown but may involve genetic, environmental, and immune factors."
Symptom,What are the symptoms of a brain abscess?,"Symptoms include headache, fever, nausea, vomiting, neurological deficits (such as weakness on one side of the body), confusion, and seizures."
Treatment,How is tuberculosis (TB) treated?,"TB is treated with a course of antibiotics for at least 6 months, with the most common medications being isoniazid, rifampin, ethambutol, and pyrazinamide."
Prognosis,What is the outlook for someone with obsessive-compulsive disorder (OCD)?,"With treatment, including medication and cognitive-behavioral therapy, many individuals with OCD can achieve substantial reduction in symptoms and improve quality of life, though managing OCD is often a long-term process."
Diagnosis,How is peripheral artery disease (PAD) diagnosed?,"PAD is diagnosed using physical examination, the ankle-brachial index (ABI) which compares blood pressure in the ankle with blood pressure in the arm, ultrasound, and angiography."
Prevention,How can you reduce the risk of breast cancer?,"Reducing risk can involve maintaining a healthy weight, staying physically active, limiting alcohol, eating a healthy diet, avoiding smoking, and considering the risks and benefits of hormone therapy if used for menopause symptoms."
Definition,What is gastroesophageal reflux disease (GERD)?,"GERD is a chronic digestive disease that occurs when stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus), leading to acid reflux and heartburn."
Cause,What causes hypothyroidism?,"Hypothyroidism can be caused by autoimmune disease (Hashimoto's thyroiditis), treatment for hyperthyroidism, radiation therapy, thyroid surgery, and certain medications, among other causes."
Symptom,What are the signs of lead poisoning?,"Signs include developmental delay, learning difficulties, irritability, loss of appetite, weight loss, sluggishness and fatigue, abdominal pain, vomiting, constipation, and hearing loss."
Treatment,How is chronic myeloid leukemia (CML) treated?,"Treatment for CML typically includes targeted therapy drugs (tyrosine kinase inhibitors), chemotherapy, immunotherapy, and sometimes stem cell transplant."
Prognosis,What is the outlook for individuals with glaucoma?,"With early detection and treatment, many people with glaucoma can manage their condition effectively to prevent or slow vision loss. However, any existing damage to vision is usually permanent."
Diagnosis,How is iron deficiency anemia diagnosed?,"Iron deficiency anemia is diagnosed through blood tests that measure levels of iron, ferritin, transferrin saturation, and hemoglobin in the body."
Prevention,How can you prevent falling at home for the elderly?,"Prevention includes removing trip hazards, using non-slip mats, installing grab bars and handrails, ensuring good lighting, and encouraging the use of assistive devices as needed."
Definition,What is meningitis?,"Meningitis is an inflammation of the membranes (meninges) surrounding your brain and spinal cord, usually caused by an infection."
Cause,What causes infertility?,"Causes of infertility can include ovulation disorders, uterine or cervical abnormalities, fallopian tube damage or blockage, endometriosis, primary ovarian insufficiency, and factors related to male sperm function, among others."
Symptom,What are the symptoms of chronic obstructive pulmonary disease (COPD)?,"Symptoms include shortness of breath, especially during physical activities, wheezing, chest tightness, having to clear your throat first thing in the morning, chronic cough, blue-tinged lips or fingernail beds, and frequent respiratory infections."
Treatment,How is a migraine with aura treated?,Treatment involves pain-relieving medications and preventive medications to reduce the frequency and severity of migraines. Lifestyle changes and avoiding triggers can also help manage symptoms.
Prognosis,What is the outlook for individuals with pancreatic cancer?,"The outlook for pancreatic cancer is generally poor, with survival rates depending on the stage at diagnosis, overall health, and response to treatment. Early-stage pancreatic cancer has a better prognosis than advanced-stage."
Diagnosis,How is gestational diabetes diagnosed?,"Gestational diabetes is diagnosed through glucose screening tests during pregnancy, typically between 24 and 28 weeks of gestation."
Prevention,How can exposure to loud noises be prevented?,"Preventing exposure includes wearing ear protection like earplugs or earmuffs in noisy environments, avoiding prolonged exposure to loud sounds, and keeping the volume down on personal audio devices."
